Name,Mass
C9H12N3O8P1,321.036205
C22H42O1,322.323565
C9H14N3O8P1,323.051855
C12H21N1O9,323.121634
C20H21N1O3,323.152144
C18H12O6,324.06339
C15H16O8,324.08452
C12H22O6P2,324.089166
C12H20O10,324.10565
C17H12O7,328.058305
C10H13N6O5P1,328.068507
C10H12N5O6P1,329.052523
C10H11N4O7P1,330.036539
C10H13N5O6P1,330.060348
C21H20O2N2,332.152478
C11H14N2O6S2,334.029332
C9H14O7N5P1,335.063088
C21H24N2O2,336.183778
C9H15N4O4P2S1,337.028929
C9H15O8N4P1,338.062754
C9H14N3O9P1,339.04677
C15H17N1O8,339.095419
C18H12O7,340.058305
C11H21N2O6P1S1,340.085798
C25H40,340.313
C11H20O7S1N1P1,341.069814
C18H14O7,342.073955
C6H2I2O1,343.8195
C27H36O_1,344.286785
C6H4I2O1,345.8352
C12H10O12,346.01723
C10H11N4O8P1,346.031454
C10H14N5O7P1,347.063088
C12H17N3O7S1,347.078724
C16H28O8,348.17842
C24H44O1,348.339215
C3H13O11P3S1,349.939151
C21H22O3N2,350.163043
C25H34O1,350.260965
C24H46O1,350.354865
C12H16O12,352.06418
C21H23O4N1,353.162709
C18H14N2O6,354.085188
C14H17O6N3S1,355.083809
C18H30O7,358.199155
C14H20N2O9,360.116883
C24H40O2,360.30283
C14H23O10N1,365.132199
C27H44,368.3443
C17H22O9,370.126385
C5H11O13P3,371.941259
C11H12N5O8P1,373.042353
C22H18N2O4,374.126658
C24H38O3,374.282095
C20H7O1Cl2N3,374.9966
C11H19O5N4P2S1,381.055144
C27H44O1,384.339215
C10H15N3O6S2e1,384.9847
C9H12N2O11P2,385.991639
C24H38O4,390.27701
C27H40O2,396.30283
C30H40,400.313
C10H16O11N2P2,402.022939
C30H48,408.3756
C10H14N5O9P3S_1,409.028372
C18H24O11,416.131865
C24H32O6,416.21989
C17H32N6O4S1,416.220576
C27H44O3,416.329045
C11H22N2O9P2S1,420.052131
C23H35N1O4S1,421.228681
C12H19O7N4P2S1,425.044974
C19H19O5N7,425.144768
C19H21N7O5,427.160418
C18H34N6O4S1,430.236226
C27H44O4,432.32396
C3H2N7O11P3S1,436.874594
C17H19N4O8P1,438.094054
C27H18O6,438.11034
C46H77N_2O_8P_1,442.663294
C35H46O_1,450.365035
C7H12O12N5P3,450.969539
C30H44O3,452.329045
C22H27O4N7,453.212453
C18H30O13,454.168645
C20H21N7O6,455.155333
C25H32N2O6,456.226038
C1N7O14P3S1,458.843689
C9H13N2O14P3,465.957972
C18H30O14,470.16356
C2H2N7O14P3S1,472.859339
C20H39N7O4S1,473.278425
C35H56,476.4382
C32H60O2,476.45933
C9H14N5O12P3,476.985189
C25H38N2O5S1,478.250145
C4H2N7O13P3S1,480.864424
C17H28N2O12S1,484.1363
C17H30O12N2S1,486.15195
C18H30O15,486.158475
C28H30O4N4,486.226706
C10H14N5O12P3,488.985189
C5H4N7O13P3S1,494.880074
C9H16O13N5P3,494.995754
C19H20N3O11P1,497.08355
C4H6N7O14P3S1,500.890639
C10H14N5O13P3,504.980104
C10H13N4O14P3,505.96412
C5H8N7O14P3S1,514.906289
C23H21O11N3,515.117612
C21H25N1O14,515.127509
C15H17N5O10P2S1,521.017143
C46H78N_2O_5,522.629627
C27H27O10N1,525.163499
C18H28O18,532.12757
C29H31O9N1,537.199884
C15H21N5O13P2,541.061116
C15H22N5O13P2,542.068941
C40H64,544.5008
C28H51N1O9,545.356384
C29H31O10N1,553.194799
C21H41N5O12,555.275175
C7H10N7O15P3S1,556.916854
C34H32O4N4,560.242356
C27H20N2O12,564.101628
S2O9C20H32N6,564.167223
C44H72O_2,568.57357
C10H15N5O15P4,568.951522
C8H12N7O15P3S1,570.932504
C14H24N7O10P3S1,575.051829
C14H26N7O11P3S1,593.062394
C35H32O4M1g1N4,596.2274
C23H43O13N5,597.28574
C16H28N7O10P3S1,603.083129
C14H21N6O13P3S1,606.010025
C35H30O5M1g1N4,610.2067
C45H72,612.5634
C34H63N1O8,613.455369
C12H26N7O14P3S1,617.047139
C17H30N7O10P3S1,617.098779
C16H27N6O12P3S1,620.06206
C27H24O17,620.101355
C16H26N5O13P3S1,621.046076
C15H23N5O16P3,622.035274
C13H21N6O15P3S1,625.999855
C24H27N4O14P1,626.126144
C30H32N2O13,628.190443
C16H26N7O12P3S1,633.057309
C28H39O13S_2N6P1,634.287133
C15H30N7O13P3S1,641.083524
C21H26N7O13P2,646.106389
C13H28N7O15P3S1,647.057704
C17H28N7O12P3S1,647.072959
C24H40O20,648.2113
C10H16N5O18P5,648.917855
C14H22N7O15P3S1,653.010754
C15H30N7O14P3S1,657.078439
C15H32N7O14P3S1,659.094089
C20H29N3O18P2,661.092143
C15H24N7O15P3S1,667.026404
C21H33N7O12P2S1,669.138321
C19H32N7O12P3S1,675.104259
C50H80,680.626
C14H20N7O17P3S1,682.984934
C28H38N5O13P1,683.220378
C16H30N7O15P3S1,685.073354
C39H60O10,688.41865
C19H31N6O14P3S1,692.08319
C34H64N1O11P1,693.421702
C43H71O5P1,698.503913
C39H60O11,704.413565
C19H29N6O15P3S1,706.062455
C19H32N7O14P3S1,707.094089
C43H87O5P1,714.629113
C20H34O14N7P3S1,721.109739
C19H29N6O16P3S1,722.05737
C34H42O14N4,730.269756
C23H34N4O19P2,732.129257
C21H36N7O14P3S1,735.125389
C39H42O11N4,742.285011
C21H34N7O15S1P3,749.104654
C21H35N7O15P3S1,750.112479
C29H34N5O17P1,755.168738
C30H43N6O15P1,758.252407
C21H32N7O16P3S1,763.083919
C21H36N7O16P3S1,767.115219
C29H49O17N3P2,773.253728
C22H38N7O16P3S1,781.130869
C22H35N8O16P3S1,792.110468
C23H37N7O16P3S1,792.123044
H39C24O16N7P3S1,806.138694
C23H38O17N7P3S1,809.125784
C30H50O25,810.264125
C24H40O17N7P3S1,823.141434
C31H52N7O17P1,825.315736
H41C26O16N7P3S1,832.154344
C25H41O16N8P3S1,834.157418
C27H40O17N7P3S1,859.141434
C28H41N5O22P2,861.171851
C43H50O15N4,862.327271
C45H72O16,868.48204
C32H52N7O19P1,869.305566
C41H60N12O10,880.455538
H49C31O16N7P3S1,900.216944
C46H63N10O7o1,914.4213
C30H48O18N7P3S1,919.198949
C44H48O15o1N4,919.2448
C44H49O15o1N4,920.2527
C60H98O6N1P1,959.713177
C36H60O30,972.31695
C34H53N7O23P2,989.266814
C35H53N7O25P2,1033.256644
C51H80O22,1044.51413
C37H58N8O24P2,1060.303928
C38H58N8O26P2,1104.293758
C56H75N15O10o1,1164.5154
C60H64O28,1232.35842
C59H83N16O13P1o1,1301.5395
